ORDER_ID,PURCHASE_TS,SHIP_TS,DELIVERY_TS,REFUND_TS
02d2390d1ef2431,2020/11/21,2020/11/24,2020/12/2,
02d3bd3f6c478105,2019/6/2,2019/6/7,2019/6/13,
02d62e34aff104192,2020/3/29,2020/4/3,2020/4/6,
02d66ec297c58125,2020/10/27,2020/10/30,2020/11/13,
02d8edaf24521319,2019/5/21,2019/5/26,2019/6/5,
02d913ca94017020,2020/1/30,2020/2/2,2020/2/11,
02e283ab0cb56949,2020/11/6,2020/11/10,2020/11/20,2022/9/27
02e7e03ca078558,2020/2/8,2020/2/10,2020/2/24,
02ea5330f7290862,2019/12/22,2019/12/27,2020/1/9,2021/12/28
02eebaf179593918,2019/10/13,2019/10/15,2019/10/21,
02f0a5c243298067,2020/3/24,2020/3/26,2020/3/30,2022/5/19
0308eb040d193745,2020/6/30,2020/7/3,2020/7/15,
030ad3a376157258,2019/4/28,2019/4/30,2019/5/8,
030b7c3751e54572,2019/3/29,2019/3/30,2019/4/13,
030ebd0969e27221,2020/5/28,2020/6/1,2020/6/8,
0316e92911c63330,2019/12/1,2019/12/2,2019/12/12,
0316e92911c63331,2019/12/1,2019/12/5,2019/12/19,
0317d7f102341157,2020/5/8,2020/5/11,2020/5/16,
0318e0de04646692,2020/9/15,2020/9/19,2020/9/30,2025/3/22
0320d086975396,2019/6/13,2019/6/14,2019/6/24,
0326a15074c24137,2020/9/30,2020/10/1,2020/10/11,
032806cdd9b74921,2020/12/26,2020/12/31,2021/1/8,
0328491c0cf26852,2020/3/3,2020/3/4,2020/3/8,
0328998c7b5100080,2020/5/5,2020/5/6,2020/5/10,
032d309dd6798324,2020/5/6,2020/5/9,2020/5/20,
032f0b6bd7149113,2020/11/26,2020/12/1,2020/12/4,
0333beb31e136613,2020/4/28,2020/5/3,2020/5/13,
0336e100b9922185,2020/7/12,2020/7/14,2020/7/22,
0337c31a4b556531,2020/4/27,2020/4/30,2020/5/4,
033aae8e02d38430,2019/8/23,2019/8/26,2019/9/9,
033b322919a53185,2019/6/17,2019/6/20,2019/7/2,
033b5a2a3c388530,2020/3/18,2020/3/20,2020/3/25,
033cdeb82e310559,2020/3/17,2020/3/18,2020/3/30,2022/4/23
033d2bb062895285,2020/8/6,2020/8/11,2020/8/16,2025/5/15
033d64725cc92138,2020/8/17,2020/8/18,2020/8/31,
033f23fddad18190,2020/7/21,2020/7/22,2020/7/28,
03467dc314a79864,2020/12/7,2020/12/8,2020/12/21,
0348ec0227020870,2020/12/19,2020/12/21,2020/12/27,2024/2/4
0349c32f37c22576,2020/6/11,2020/6/14,2020/6/28,
034a1b478ac88733,2020/1/30,2020/1/31,2020/2/13,
034a6e2f83d81099,2020/4/20,2020/4/23,2020/5/6,
034c72edf1c70681,2020/4/1,2020/4/2,2020/4/16,
034cdd0e4b572503,2020/8/21,2020/8/23,2020/8/31,
03514fa4253107544,2020/9/2,2020/9/7,2020/9/19,
03594a0474c83986,2020/6/10,2020/6/13,2020/6/19,
035cf6260c582603,2019/9/8,2019/9/10,2019/9/24,
0361cdbba7f2828,2020/4/30,2020/5/1,2020/5/6,
0363d07b76081177,2019/12/18,2019/12/19,2020/1/2,
036556e67b776498,2020/5/5,2020/5/6,2020/5/11,
036aa4b8be973762,2019/8/23,2019/8/25,2019/9/8,
036b4baf19159253,2020/10/22,2020/10/26,2020/11/1,
036bf21fbb112243,2019/7/21,2019/7/23,2019/7/29,
036f687cbaa78116,2020/10/17,2020/10/21,2020/10/26,
036fc2e4aa068573,2020/6/25,2020/6/26,2020/7/8,
0371900a86481365,2020/12/28,2020/12/29,2021/1/12,
03736d2b05b34285,2020/9/3,2020/9/7,2020/9/11,2022/9/27
03736d2b05b34286,2020/9/3,2020/9/7,2020/9/15,2022/9/27
037d9fcf29a79552,2020/12/10,2020/12/11,2020/12/15,
037de85ccb036588,2019/6/7,2019/6/12,2019/6/26,
037f6170ca669049,2020/12/4,2020/12/7,2020/12/20,2025/11/3
037fe318e4636525,2020/6/27,2020/7/2,2020/7/11,
03833ad01c963934,2019/7/1,2019/7/6,2019/7/12,
0385d53894e83715,2019/8/10,2019/8/13,2019/8/21,
03939f1823c24915,2020/12/15,2020/12/18,2020/12/25,2023/11/30
0397762379b60178,2020/2/18,2020/2/21,2020/2/24,
039b129eb08106729,2020/5/12,2020/5/16,2020/5/22,
039de759adc43252,2020/7/3,2020/7/5,2020/7/8,2022/6/7
039f3e52bbf107894,2020/4/25,2020/4/27,2020/5/3,
03a1483087e83368,2020/9/20,2020/9/22,2020/10/5,
03a1eb8a15b63125,2020/7/21,2020/7/22,2020/7/31,2022/6/16
03a3163826b65650,2019/6/2,2019/6/7,2019/6/12,
03a7cb07f6431542,2019/8/14,2019/8/19,2019/8/30,
03a7e7346f22016,2020/12/18,2020/12/19,2020/12/29,
03ac302e086657,2019/11/6,2019/11/9,2019/11/12,
03ad4dd80643675,2020/3/24,2020/3/28,2020/4/6,
03b0585c3c971484,2019/7/15,2019/7/20,2019/7/26,
03b0ce6bb0774573,2020/12/23,2020/12/28,2021/1/11,
03b0ce6bb0774574,2020/12/23,2020/12/27,2021/1/9,
03b0ce6bb0774575,2020/12/23,2020/12/25,2020/12/31,
03b140faf8310623,2019/10/17,2019/10/20,2019/10/26,
03b1c24389653560,2020/8/6,2020/8/10,2020/8/19,2022/11/4
03b550a91fd26382,2019/10/28,2019/10/31,2019/11/4,
03bc5ea194299749,2020/9/29,2020/10/1,2020/10/12,2023/11/19
03c58a47428104727,2020/4/26,2020/4/30,2020/5/3,
03cfcb1594387755,2020/8/31,2020/9/2,2020/9/14,
03cfcb1594387756,2020/8/31,2020/9/3,2020/9/8,
03d1088ed5d72808,2019/6/28,2019/7/2,2019/7/9,
03d2d0ae1e331305,2020/10/24,2020/10/25,2020/10/31,2022/12/4
03ddabc08ad106285,2020/5/10,2020/5/14,2020/5/21,
03e11ffa84f39427,2020/4/29,2020/4/30,2020/5/4,
03e2747422724939,2020/4/18,2020/4/22,2020/4/27,
03e2f96f9957471,2020/8/22,2020/8/23,2020/9/3,
03e2f96f9957472,2020/8/22,2020/8/23,2020/8/27,
03e320b5d2026564,2020/12/27,2020/12/28,2021/1/10,
03e33ee21fe39132,2020/10/20,2020/10/22,2020/11/3,
03ea245d5b119111,2019/8/30,2019/9/2,2019/9/11,2021/8/23
03eda00419766519,2020/4/30,2020/5/2,2020/5/14,
03ee5bae23911602,2020/1/26,2020/1/30,2020/2/5,
03f47aee052104652,2019/12/12,2019/12/14,2019/12/20,
03f89d7e0ea28034,2019/3/9,2019/3/11,2019/3/18,
03fa272f17a86129,2020/6/16,2020/6/18,2020/6/25,
03feca187917819,2020/4/9,2020/4/13,2020/4/19,2022/5/5
04033951daa50345,2019/10/20,2019/10/21,2019/10/24,
0403a09b7bc27849,2020/5/10,2020/5/13,2020/5/22,
0403f92522787474,2019/3/10,2019/3/11,2019/3/25,2021/3/31
04074c0075b34031,2020/2/14,2020/2/16,2020/2/24,
040a74792fe86065,2019/9/23,2019/9/27,2019/10/10,
040a74792fe86067,2019/9/23,2019/9/26,2019/10/7,
040bdde66d347366,2020/5/12,2020/5/13,2020/5/23,
040f635a51595929,2020/6/12,2020/6/16,2020/6/26,
0417fe031b370176,2019/4/10,2019/4/15,2019/4/29,
0418b94f84250899,2019/8/4,2019/8/9,2019/8/22,
041a88d6c7278173,2020/5/19,2020/5/20,2020/5/26,
041e01549ec84945,2019/5/6,2019/5/11,2019/5/18,
0426c813f8930753,2020/11/30,2020/12/1,2020/12/15,
042fc04ee3230529,2020/5/9,2020/5/13,2020/5/20,
04310c03d9995730,2020/5/19,2020/5/22,2020/5/31,
0432aceb4b991567,2020/7/9,2020/7/14,2020/7/20,
04345f6eca170989,2020/1/24,2020/1/25,2020/1/30,
0439278baf657163,2020/3/15,2020/3/18,2020/3/31,
04442b0ec94105043,2020/2/13,2020/2/16,2020/2/26,
0444a545d8629203,2020/8/1,2020/8/3,2020/8/10,
0444a545d8629204,2020/8/1,2020/8/4,2020/8/13,
0446379a99845041,2020/12/19,2020/12/21,2020/12/31,
044e94cf70d58413,2020/6/5,2020/6/10,2020/6/13,
045048dffb480229,2020/4/30,2020/5/4,2020/5/16,
0456b22504987982,2019/7/22,2019/7/27,2019/8/9,
04586fbe46046257,2019/9/1,2019/9/5,2019/9/13,
045af3aeec445019,2020/9/13,2020/9/16,2020/9/24,2022/10/27
046269f65a423185,2019/11/7,2019/11/10,2019/11/14,
0463c1c00f953485,2020/10/28,2020/10/29,2020/11/3,
046b23ac67f41594,2020/5/15,2020/5/19,2020/5/30,
04735749d8791326,2019/10/13,2019/10/18,2019/10/30,
0476d1d6a9748937,2020/6/1,2020/6/6,2020/6/18,
04783941fe031297,2020/10/23,2020/10/24,2020/11/1,
0478994cb4e13976,2020/11/6,2020/11/9,2020/11/19,
047954623f720731,2020/12/19,2020/12/23,2020/12/26,
0479d22b11c66166,2020/10/24,2020/10/28,2020/11/5,2022/8/23
047b61b39941057,2020/3/5,2020/3/8,2020/3/14,2022/4/22
047bf9ad7b929563,2020/7/25,2020/7/26,2020/7/29,
04807a2b69e69059,2020/11/21,2020/11/22,2020/11/30,
048484adea653124,2019/6/13,2019/6/14,2019/6/26,
0484f0d1023107564,2020/1/25,2020/1/28,2020/2/9,
048bda2a8b0104629,2020/10/26,2020/10/30,2020/11/10,
048e3ef006174359,2020/12/26,2020/12/29,2021/1/8,2022/12/1
04904f628b311180,2020/2/28,2020/3/4,2020/3/13,
0490aff3da343513,2020/7/31,2020/8/5,2020/8/14,
04957e730a1100240,2020/4/10,2020/4/11,2020/4/24,2022/5/20
04a012ae28256866,2019/5/30,2019/6/3,2019/6/7,
04a3dfc122a16751,2020/8/24,2020/8/27,2020/8/30,
04a4cae1c7644188,2020/5/23,2020/5/26,2020/6/2,
04a57b461a818770,2020/7/21,2020/7/26,2020/7/31,
04a7f4d6d9722312,2020/8/23,2020/8/27,2020/9/10,
04a9580c284102432,2020/4/7,2020/4/8,2020/4/11,
04ad9453e4c41737,2020/2/16,2020/2/18,2020/3/1,
04b144ecd5b41201,2020/12/30,2021/1/4,2021/1/18,
04b2f0ae7a198032,2020/7/26,2020/7/29,2020/8/4,
04ba06bbe9b105169,2020/10/28,2020/11/1,2020/11/6,
04c1a0ebc5180702,2020/9/21,2020/9/24,2020/9/30,2023/1/27
04c21272d4d34123,2020/4/21,2020/4/23,2020/4/26,
04c233ae32831845,2020/3/8,2020/3/13,2020/3/24,2022/9/24
04ca785aa0291802,2019/5/1,2019/5/4,2019/5/12,2023/4/28
04cb8896f1773857,2020/12/18,2020/12/21,2021/1/1,
04cc615b81b100893,2019/4/1,2019/4/3,2019/4/17,
04cdf685c4085322,2020/8/10,2020/8/14,2020/8/19,
04d4eded39e57953,2020/6/8,2020/6/11,2020/6/20,
04dd92b671e39978,2020/10/16,2020/10/17,2020/10/31,
04de89eb76446039,2020/8/12,2020/8/15,2020/8/22,2023/10/26
04e3a0013ec9825,2019/6/10,2019/6/15,2019/6/19,
04e427949aa39910,2020/11/22,2020/11/23,2020/12/7,
04eab60610934720,2020/6/1,2020/6/6,2020/6/20,
04ebe83644d75507,2020/2/26,2020/3/2,2020/3/6,
04edd8e6af2105921,2019/4/20,2019/4/21,2019/4/24,
04ef10d0c2747090,2020/12/5,2020/12/6,2020/12/16,
04f10512ca783302,2020/5/22,2020/5/25,2020/5/28,
04f3d22c8c720288,2020/6/21,2020/6/22,2020/7/6,
04f5b5f408e74866,2019/7/5,2019/7/10,2019/7/14,
04f5dc9a36c4528,2019/5/1,2019/5/5,2019/5/11,
04fa0a29c4573128,2020/3/22,2020/3/27,2020/4/3,
04fb1f46474104019,2020/5/5,2020/5/10,2020/5/21,
04ffb94070325981,2020/7/1,2020/7/2,2020/7/11,2022/5/19
050046dbac444363,2020/11/22,2020/11/26,2020/12/9,
050046dbac444364,2020/11/22,2020/11/25,2020/12/7,
05028461f3b1667,2020/9/14,2020/9/18,2020/10/1,
0502bd2e05c9178,2019/7/25,2019/7/29,2019/8/6,2021/9/16
05098ebe52010665,2020/6/29,2020/7/2,2020/7/10,2022/7/7
0509feab03780944,2020/7/1,2020/7/6,2020/7/18,
051483860f411565,2020/7/9,2020/7/13,2020/7/16,
051824a793b30122,2020/11/12,2020/11/15,2020/11/18,2025/3/26
051abccf7a193067,2020/10/20,2020/10/23,2020/10/27,
051b8c3cc1924624,2020/2/15,2020/2/17,2020/2/22,
051bce3058b9268,2020/6/29,2020/6/30,2020/7/11,
05225bab44254874,2020/7/10,2020/7/15,2020/7/27,
0525500b26c56070,2019/11/22,2019/11/23,2019/11/30,
0525d251a7b102413,2020/8/18,2020/8/22,2020/8/31,
052909c1a9577764,2020/1/20,2020/1/24,2020/2/1,
0529d82eda325269,2020/11/25,2020/11/26,2020/12/4,
052a5cf21c740797,2020/4/27,2020/4/29,2020/5/7,
052e2882e1e65479,2019/9/9,2019/9/14,2019/9/18,
0533555c68090689,2019/11/3,2019/11/8,2019/11/21,
0535f32206e15586,2020/6/23,2020/6/27,2020/7/10,
0538cb343a258629,2020/7/9,2020/7/12,2020/7/25,
053a23a813527352,2020/7/15,2020/7/19,2020/7/31,
053b4d1809627188,2019/3/27,2019/3/28,2019/4/11,
053e6c59b3691936,2020/9/26,2020/10/1,2020/10/9,
053efcdac20106550,2020/12/7,2020/12/12,2020/12/26,
054b01199ab6029,2019/4/27,2019/4/30,2019/5/5,
0551110c7b755483,2020/3/12,2020/3/14,2020/3/22,
0553e0b45bf1700,2020/3/29,2020/3/31,2020/4/8,
055adabfcad21012,2020/9/5,2020/9/10,2020/9/16,
055d744028451323,2020/4/11,2020/4/13,2020/4/21,2022/5/8
055e08a172b32108,2020/4/23,2020/4/27,2020/5/6,
055e48df1a626277,2019/10/18,2019/10/20,2019/11/1,
0564bd66fff41286,2020/11/2,2020/11/4,2020/11/15,
056a4d5598f34670,2019/12/19,2019/12/22,2020/1/3,
0576e2ecbe481907,2020/2/14,2020/2/16,2020/2/24,
05783f3b3eb4557,2020/6/28,2020/6/29,2020/7/6,
05784a98e0247137,2019/3/11,2019/3/14,2019/3/21,
057d9291c13927,2020/9/12,2020/9/13,2020/9/27,2022/9/6
057fef1e82f66952,2020/6/6,2020/6/9,2020/6/23,
058563d1aaf92777,2020/12/21,2020/12/22,2021/1/3,
